;time;status;count;;;;;
68;00h 38;denied;4;;;;;
69;00h 39;approved;19;;;;;
70;00h 40;denied;2;;;;;
71;00h 40;approved;19;;;;;
72;00h 41;approved;8;;;;;
73;00h 41;denied;3;;;;;
74;00h 42;approved;8;;;;;
75;00h 43;approved;17;;;;;
76;00h 44;approved;7;;;;;
77;00h 45;approved;33;;;;;
78;00h 46;approved;13;;;;;
79;00h 47;approved;13;;;;;
80;00h 47;reversed;6;;;;;
81;00h 48;approved;10;;;;;
82;00h 49;denied;6;;;;;
83;00h 49;approved;25;;;;;
84;00h 50;approved;23;;;;;
85;00h 50;denied;8;;;;;
86;00h 51;approved;7;;;;;
87;00h 52;approved;27;;;;;
88;00h 52;denied;4;;;;;
89;00h 53;denied;6;;;;;
90;00h 53;approved;5;;;;;
91;00h 54;denied;4;;;;;
92;00h 54;approved;14;;;;;
93;00h 55;approved;10;;;;;
94;00h 55;denied;7;;;;;
95;00h 56;denied;5;;;;;
96;00h 56;reversed;10;;;;;
97;00h 56;approved;8;;;;;
98;00h 57;approved;4;;;;;
99;00h 57;denied;2;;;;;
100;00h 58;approved;14;;;;;
101;00h 58;denied;1;;;;;
102;00h 59;approved;5;;;;;
103;00h 59;denied;3;;;;;
104;01h 00;approved;32;;;;;
105;01h 01;approved;26;;;;;
106;01h 01;denied;5;;;;;
107;01h 02;approved;26;;;;;
108;01h 03;approved;6;;;;;
109;01h 04;approved;22;;;;;
110;01h 05;approved;10;;;;;
111;01h 06;approved;35;;;;;
112;01h 07;denied;6;;;;;
113;01h 07;approved;21;;;;;
114;01h 08;denied;1;;;;;
115;01h 08;backend_reversed;6;;;;;
116;01h 08;approved;29;;;;;
117;01h 09;approved;28;;;;;
118;01h 10;approved;28;;;;;
119;01h 11;approved;15;;;;;
120;01h 11;denied;1;;;;;
121;01h 12;approved;19;;;;;
122;01h 12;denied;4;;;;;
123;01h 13;denied;2;;;;;
124;01h 13;approved;16;;;;;
125;01h 14;approved;12;;;;;
126;01h 15;approved;26;;;;;
127;01h 16;approved;20;;;;;
128;01h 17;approved;11;;;;;
129;01h 18;approved;12;;;;;
130;01h 19;approved;34;;;;;
131;01h 20;approved;5;;;;;
132;01h 21;approved;30;;;;;
133;01h 22;refunded;3;;;;;
134;01h 22;approved;29;;;;;
135;01h 23;approved;7;;;;;
136;01h 24;denied;5;;;;;
137;01h 24;approved;23;;;;;
138;01h 25;approved;21;;;;;
139;01h 25;denied;1;;;;;
140;01h 26;approved;6;;;;;
141;01h 26;denied;2;;;;;
142;01h 27;approved;11;;;;;
143;01h 27;denied;3;;;;;
144;01h 28;approved;9;;;;;
145;01h 29;denied;2;;;;;
146;01h 29;approved;31;;;;;
147;01h 30;approved;22;;;;;
148;01h 30;denied;6;;;;;
149;01h 31;denied;3;;;;;
150;01h 31;approved;7;;;;;
151;01h 32;approved;12;;;;;
152;01h 32;denied;4;;;;;
153;01h 33;approved;22;;;;;
154;01h 33;denied;5;;;;;
155;01h 34;approved;22;;;;;
156;01h 34;denied;4;;;;;
157;01h 35;denied;5;;;;;
158;01h 35;approved;6;;;;;
159;01h 36;approved;24;;;;;
160;01h 38;approved;12;;;;;
161;01h 39;approved;13;;;;;
162;01h 39;denied;4;;;;;
163;01h 40;approved;29;;;;;
164;01h 41;approved;20;;;;;
165;01h 42;approved;8;;;;;
166;01h 43;approved;15;;;;;
167;01h 44;approved;13;;;;;
168;01h 44;denied;5;;;;;
169;01h 45;approved;27;;;;;
170;01h 46;approved;5;;;;;
171;01h 47;approved;12;;;;;
172;01h 48;approved;16;;;;;
173;01h 49;approved;22;;;;;
174;01h 50;approved;11;;;;;
175;01h 52;approved;3;;;;;
176;01h 53;approved;30;;;;;
177;01h 54;approved;21;;;;;
178;01h 55;approved;33;;;;;
179;01h 55;denied;3;;;;;
180;01h 56;approved;18;;;;;
181;01h 56;denied;6;;;;;
182;01h 57;denied;4;;;;;
183;01h 57;approved;26;;;;;
184;01h 58;approved;26;;;;;
185;01h 59;denied;2;;;;;
186;02h 00;approved;12;;;;;
187;02h 01;approved;21;;;;;
188;02h 02;denied;4;;;;;
189;02h 03;approved;19;;;;;
190;02h 03;denied;2;;;;;
191;02h 04;approved;28;;;;;
192;02h 05;denied;1;;;;;
193;02h 05;approved;27;;;;;
194;02h 06;approved;14;;;;;
195;02h 07;approved;27;;;;;
196;02h 08;approved;9;;;;;
197;02h 09;approved;21;;;;;
198;02h 10;approved;30;;;;;
199;02h 12;approved;6;;;;;
200;02h 14;approved;20;;;;;
201;02h 15;approved;7;;;;;
202;02h 16;approved;30;;;;;
203;02h 16;denied;3;;;;;
204;02h 17;approved;19;;;;;
205;02h 20;approved;5;;;;;
206;02h 21;approved;29;;;;;
207;02h 22;approved;21;;;;;
208;02h 22;denied;5;;;;;
209;02h 23;denied;1;;;;;
210;02h 23;approved;30;;;;;
211;02h 24;approved;26;;;;;
212;02h 24;denied;5;;;;;
213;02h 25;approved;21;;;;;
214;02h 26;approved;12;;;;;
215;02h 27;approved;7;;;;;
216;02h 28;approved;6;;;;;
217;02h 30;approved;17;;;;;
218;02h 31;denied;2;;;;;
219;02h 31;approved;15;;;;;
220;02h 32;approved;27;;;;;
221;02h 33;approved;24;;;;;
222;02h 34;approved;5;;;;;
223;02h 35;denied;3;;;;;
224;02h 36;approved;29;;;;;
225;02h 39;approved;7;;;;;
226;02h 40;approved;31;;;;;
227;02h 41;denied;1;;;;;
228;02h 41;approved;17;;;;;
229;02h 42;approved;12;;;;;
230;02h 43;approved;31;;;;;
231;02h 44;approved;9;;;;;
232;02h 45;approved;29;;;;;
233;02h 47;approved;3;;;;;
234;02h 48;approved;22;;;;;
235;02h 54;approved;15;;;;;
236;02h 54;denied;5;;;;;
237;02h 55;approved;30;;;;;
238;02h 56;approved;3;;;;;
239;02h 57;approved;8;;;;;
240;02h 59;approved;23;;;;;
241;03h 02;approved;1;;;;;
242;03h 03;approved;31;;;;;
243;03h 04;approved;30;;;;;
244;03h 06;approved;30;;;;;
245;03h 06;denied;1;;;;;
246;03h 08;approved;12;;;;;
247;03h 10;approved;25;;;;;
248;03h 12;denied;5;;;;;
249;03h 12;approved;26;;;;;
250;03h 13;denied;3;;;;;
251;03h 14;approved;28;;;;;
252;03h 16;approved;8;;;;;
253;03h 17;approved;29;;;;;
254;03h 22;denied;5;;;;;
255;03h 22;approved;19;;;;;
256;03h 23;approved;32;;;;;
257;03h 24;approved;16;;;;;
258;03h 26;approved;10;;;;;
259;03h 27;approved;27;;;;;
260;03h 32;approved;10;;;;;
261;03h 33;approved;1;;;;;
262;03h 34;approved;12;;;;;
263;03h 35;approved;29;;;;;
264;03h 37;approved;15;;;;;
265;03h 39;denied;3;;;;;
266;03h 39;approved;9;;;;;
267;03h 40;denied;3;;;;;
268;03h 41;denied;4;;;;;
269;03h 42;denied;5;;;;;
270;03h 43;denied;3;;;;;
271;03h 44;denied;3;;;;;
272;03h 45;approved;24;;;;;
273;03h 47;approved;23;;;;;
274;03h 48;approved;14;;;;;
275;03h 52;approved;24;;;;;
276;03h 53;denied;1;;;;;
277;03h 55;denied;2;;;;;
278;03h 58;denied;5;;;;;
279;03h 58;approved;16;;;;;
280;04h 03;approved;20;;;;;
281;04h 04;approved;22;;;;;
282;04h 06;approved;21;;;;;
283;04h 16;approved;4;;;;;
284;04h 19;approved;15;;;;;
285;04h 23;denied;3;;;;;
286;04h 24;denied;3;;;;;
287;04h 31;approved;26;;;;;
288;04h 36;approved;23;;;;;
289;04h 37;approved;29;;;;;
290;04h 41;approved;21;;;;;
291;04h 42;approved;1;;;;;
292;04h 43;approved;21;;;;;
293;04h 44;approved;28;;;;;
294;04h 46;approved;8;;;;;
295;04h 47;approved;19;;;;;
296;04h 51;approved;20;;;;;
297;04h 52;approved;20;;;;;
298;04h 54;approved;21;;;;;
299;04h 55;approved;30;;;;;
300;04h 55;denied;1;;;;;
301;04h 56;approved;3;;;;;
302;04h 56;denied;4;;;;;
303;04h 57;approved;18;;;;;
304;04h 59;approved;4;;;;;
305;05h 00;approved;24;;;;;
306;05h 01;approved;1;;;;;
307;05h 02;approved;6;;;;;
308;05h 03;approved;20;;;;;
309;05h 04;approved;18;;;;;
310;05h 05;approved;25;;;;;
311;05h 06;approved;5;;;;;
312;05h 07;approved;22;;;;;
313;05h 07;denied;1;;;;;
314;05h 09;approved;8;;;;;
315;05h 10;approved;20;;;;;
316;05h 11;approved;5;;;;;
317;05h 12;approved;33;;;;;
318;05h 13;approved;3;;;;;
319;05h 14;denied;5;;;;;
320;05h 14;approved;19;;;;;
321;05h 15;denied;6;;;;;
322;05h 15;approved;32;;;;;
323;05h 16;approved;22;;;;;
324;05h 17;denied;2;;;;;
325;05h 17;approved;26;;;;;
326;05h 18;denied;2;;;;;
327;05h 19;denied;3;;;;;
328;05h 20;approved;12;;;;;
329;05h 20;denied;4;;;;;
330;05h 21;approved;8;;;;;
331;05h 21;denied;5;;;;;
332;05h 22;approved;4;;;;;
333;05h 23;approved;15;;;;;
334;05h 24;approved;11;;;;;
335;05h 25;approved;34;;;;;
336;05h 26;approved;14;;;;;
337;05h 26;denied;5;;;;;
338;05h 27;approved;21;;;;;
339;05h 27;denied;7;;;;;
340;05h 28;approved;9;;;;;
341;05h 29;approved;6;;;;;
342;05h 29;denied;5;;;;;
343;05h 30;denied;6;;;;;
344;05h 30;approved;21;;;;;
345;05h 31;approved;8;;;;;
346;05h 32;approved;7;;;;;
347;05h 33;approved;10;;;;;
348;05h 34;approved;15;;;;;
349;05h 34;denied;5;;;;;
350;05h 35;approved;33;;;;;
351;05h 35;denied;5;;;;;
352;05h 36;denied;1;;;;;
353;05h 36;approved;20;;;;;
354;05h 37;approved;30;;;;;
355;05h 38;approved;8;;;;;
356;05h 39;approved;8;;;;;
357;05h 40;approved;16;;;;;
358;05h 41;denied;3;;;;;
359;05h 41;approved;7;;;;;
360;05h 42;approved;26;;;;;
361;05h 42;denied;6;;;;;
362;05h 43;approved;37;;;;;
363;05h 43;denied;4;;;;;
364;05h 44;approved;17;;;;;
365;05h 44;denied;5;;;;;
366;05h 45;approved;26;;;;;
367;05h 46;approved;19;;;;;
368;05h 46;denied;5;;;;;
369;05h 47;denied;4;;;;;
370;05h 48;denied;7;;;;;
371;05h 48;approved;37;;;;;
372;05h 49;approved;15;;;;;
373;05h 50;approved;19;;;;;
374;05h 51;denied;3;;;;;
375;05h 51;approved;27;;;;;
376;05h 52;approved;29;;;;;
377;05h 53;approved;34;;;;;
378;05h 54;approved;19;;;;;
379;05h 55;approved;32;;;;;
380;05h 56;approved;35;;;;;
381;05h 56;denied;1;;;;;
382;05h 57;approved;28;;;;;
383;05h 57;denied;5;;;;;
384;05h 58;denied;5;;;;;
385;05h 58;approved;39;;;;;
386;05h 59;denied;3;;;;;
387;05h 59;refunded;2;;;;;
388;05h 59;approved;44;;;;;
389;06h 00;approved;31;;;;;
390;06h 00;denied;2;;;;;
391;06h 01;approved;24;;;;;
392;06h 01;denied;4;;;;;
393;06h 02;approved;18;;;;;
394;06h 02;denied;3;;;;;
395;06h 03;approved;27;;;;;
396;06h 03;denied;5;;;;;
397;06h 04;approved;38;;;;;
398;06h 04;denied;2;;;;;
399;06h 05;approved;28;;;;;
400;06h 06;approved;21;;;;;
401;06h 06;reversed;5;;;;;
402;06h 07;approved;35;;;;;
403;06h 08;approved;21;;;;;
404;06h 08;denied;3;;;;;
405;06h 09;approved;50;;;;;
406;06h 09;denied;5;;;;;
407;06h 10;denied;5;;;;;
408;06h 10;reversed;4;;;;;
409;06h 10;approved;47;;;;;
410;06h 11;approved;27;;;;;
411;06h 11;denied;5;;;;;
412;06h 12;denied;3;;;;;
413;06h 12;approved;29;;;;;
414;06h 13;approved;26;;;;;
415;06h 13;denied;2;;;;;
416;06h 14;approved;24;;;;;
417;06h 14;denied;3;;;;;
418;06h 15;approved;41;;;;;
419;06h 16;approved;28;;;;;
420;06h 16;denied;6;;;;;
421;06h 17;denied;4;;;;;
422;06h 17;backend_reversed;1;;;;;
423;06h 17;approved;41;;;;;
424;06h 18;denied;2;;;;;
425;06h 18;approved;51;;;;;
426;06h 19;approved;45;;;;;
427;06h 19;denied;5;;;;;
428;06h 20;reversed;3;;;;;
429;06h 20;approved;57;;;;;
430;06h 20;denied;7;;;;;
431;06h 21;refunded;2;;;;;
432;06h 21;approved;37;;;;;
433;06h 21;denied;5;;;;;
434;06h 22;approved;20;;;;;
435;06h 22;denied;4;;;;;
436;06h 23;approved;45;;;;;
437;06h 23;backend_reversed;1;;;;;
438;06h 23;denied;4;;;;;
439;06h 24;denied;6;;;;;
440;06h 24;approved;36;;;;;
441;06h 25;denied;7;;;;;
442;06h 25;approved;30;;;;;
443;06h 26;denied;4;;;;;
444;06h 26;approved;50;;;;;
445;06h 27;approved;19;;;;;
446;06h 27;denied;7;;;;;
447;06h 28;backend_reversed;8;;;;;
448;06h 28;approved;39;;;;;
449;06h 28;denied;1;;;;;
450;06h 28;reversed;1;;;;;
451;06h 29;denied;6;;;;;
452;06h 29;approved;63;;;;;
453;06h 30;approved;30;;;;;
454;06h 30;denied;6;;;;;
455;06h 31;denied;10;;;;;
456;06h 31;approved;39;;;;;
457;06h 32;denied;5;;;;;
458;06h 32;approved;42;;;;;
459;06h 33;denied;6;;;;;
460;06h 33;approved;63;;;;;
461;06h 33;reversed;5;;;;;
462;06h 34;approved;59;;;;;
463;06h 34;reversed;8;;;;;
464;06h 34;denied;5;;;;;
465;06h 35;approved;50;;;;;
466;06h 35;denied;6;;;;;
467;06h 35;reversed;8;;;;;
468;06h 36;approved;39;;;;;
469;06h 36;reversed;1;;;;;
470;06h 36;denied;8;;;;;
471;06h 37;denied;5;;;;;
472;06h 37;approved;48;;;;;
473;06h 38;approved;44;;;;;
474;06h 38;reversed;10;;;;;
475;06h 38;backend_reversed;2;;;;;
476;06h 38;denied;7;;;;;
477;06h 39;approved;67;;;;;
478;06h 39;denied;2;;;;;
479;06h 40;approved;48;;;;;
480;06h 40;denied;8;;;;;
481;06h 41;denied;4;;;;;
482;06h 41;approved;46;;;;;
483;06h 42;denied;4;;;;;
484;06h 42;approved;74;;;;;
485;06h 43;denied;9;;;;;
486;06h 43;approved;46;;;;;
487;06h 43;backend_reversed;3;;;;;
488;06h 44;approved;44;;;;;
489;06h 44;denied;7;;;;;
490;06h 45;approved;55;;;;;
491;06h 45;denied;9;;;;;
492;06h 46;denied;2;;;;;
493;06h 46;approved;50;;;;;
494;06h 47;approved;60;;;;;
495;06h 47;reversed;2;;;;;
496;06h 47;denied;11;;;;;
497;06h 48;approved;46;;;;;
498;06h 48;denied;6;;;;;
499;06h 49;denied;7;;;;;
500;06h 49;approved;39;;;;;
501;06h 50;approved;54;;;;;
502;06h 50;denied;4;;;;;
503;06h 51;approved;59;;;;;
504;06h 51;denied;7;;;;;
505;06h 52;denied;5;;;;;
506;06h 52;refunded;4;;;;;
507;06h 52;approved;65;;;;;
508;06h 53;denied;8;;;;;
509;06h 53;approved;73;;;;;
510;06h 53;refunded;3;;;;;
511;06h 54;reversed;8;;;;;
512;06h 54;denied;7;;;;;
513;06h 54;approved;71;;;;;
514;06h 55;denied;7;;;;;
515;06h 55;approved;76;;;;;
516;06h 56;approved;42;;;;;
517;06h 56;denied;8;;;;;
518;06h 56;reversed;8;;;;;
519;06h 57;backend_reversed;3;;;;;
520;06h 57;approved;65;;;;;
521;06h 57;denied;7;;;;;
522;06h 58;approved;68;;;;;
523;06h 58;denied;8;;;;;
524;06h 58;reversed;9;;;;;
525;06h 58;backend_reversed;5;;;;;
526;06h 59;refunded;2;;;;;
527;06h 59;backend_reversed;4;;;;;
528;06h 59;approved;86;;;;;
529;06h 59;denied;6;;;;;
530;07h 00;approved;82;;;;;
531;07h 00;denied;9;;;;;
532;07h 01;refunded;2;;;;;
533;07h 01;denied;9;;;;;
534;07h 01;approved;57;;;;;
535;07h 01;reversed;4;;;;;
536;07h 02;approved;72;;;;;
537;07h 02;denied;7;;;;;
538;07h 03;approved;83;;;;;
539;07h 03;denied;8;;;;;
540;07h 04;reversed;4;;;;;
541;07h 04;denied;12;;;;;
542;07h 04;approved;74;;;;;
543;07h 05;approved;87;;;;;
544;07h 05;denied;11;;;;;
545;07h 05;reversed;5;;;;;
546;07h 06;reversed;8;;;;;
547;07h 06;denied;10;;;;;
548;07h 06;approved;68;;;;;
549;07h 06;refunded;3;;;;;
550;07h 07;refunded;3;;;;;
551;07h 07;approved;83;;;;;
552;07h 07;denied;3;;;;;
553;07h 08;approved;96;;;;;
554;07h 08;denied;10;;;;;
555;07h 09;approved;95;;;;;
556;07h 09;denied;9;;;;;
557;07h 10;approved;68;;;;;
558;07h 10;denied;13;;;;;
559;07h 10;reversed;6;;;;;
560;07h 11;approved;66;;;;;
561;07h 11;denied;5;;;;;
562;07h 11;reversed;10;;;;;
563;07h 12;approved;57;;;;;
564;07h 12;denied;10;;;;;
565;07h 13;denied;7;;;;;
566;07h 13;refunded;3;;;;;
567;07h 13;approved;76;;;;;
568;07h 14;approved;86;;;;;
569;07h 14;denied;8;;;;;
570;07h 15;denied;5;;;;;
571;07h 15;approved;98;;;;;
572;07h 16;denied;12;;;;;
573;07h 16;approved;63;;;;;
574;07h 17;backend_reversed;1;;;;;
575;07h 17;approved;78;;;;;
576;07h 17;denied;14;;;;;
577;07h 17;reversed;9;;;;;
578;07h 18;approved;87;;;;;
579;07h 18;denied;7;;;;;
580;07h 19;denied;7;;;;;
581;07h 19;approved;79;;;;;
582;07h 20;denied;9;;;;;
583;07h 20;reversed;7;;;;;
584;07h 20;approved;75;;;;;
585;07h 21;approved;94;;;;;
586;07h 21;denied;8;;;;;
587;07h 22;approved;103;;;;;
588;07h 22;denied;5;;;;;
589;07h 23;denied;9;;;;;
590;07h 23;approved;106;;;;;
591;07h 24;approved;113;;;;;
592;07h 24;denied;6;;;;;
593;07h 24;reversed;7;;;;;
594;07h 25;approved;87;;;;;
595;07h 25;denied;5;;;;;
596;07h 26;denied;11;;;;;
597;07h 26;backend_reversed;4;;;;;
598;07h 26;approved;94;;;;;
599;07h 27;approved;100;;;;;
600;07h 27;denied;11;;;;;
601;07h 27;backend_reversed;2;;;;;
602;07h 28;denied;9;;;;;
603;07h 28;approved;100;;;;;
604;07h 28;reversed;8;;;;;
605;07h 29;reversed;10;;;;;
606;07h 29;denied;12;;;;;
607;07h 29;backend_reversed;6;;;;;
608;07h 29;approved;110;;;;;
609;07h 30;denied;10;;;;;
610;07h 30;backend_reversed;5;;;;;
611;07h 30;approved;119;;;;;
612;07h 31;reversed;6;;;;;
613;07h 31;approved;117;;;;;
614;07h 31;denied;8;;;;;
615;07h 32;approved;99;;;;;
616;07h 32;denied;11;;;;;
617;07h 33;approved;98;;;;;
618;07h 33;denied;8;;;;;
619;07h 34;reversed;6;;;;;
620;07h 34;approved;89;;;;;
621;07h 34;denied;9;;;;;
622;07h 35;approved;95;;;;;
623;07h 35;denied;14;;;;;
624;07h 36;backend_reversed;5;;;;;
625;07h 36;approved;112;;;;;
626;07h 36;denied;10;;;;;
627;07h 37;denied;14;;;;;
628;07h 37;approved;118;;;;;
629;07h 38;backend_reversed;3;;;;;
630;07h 38;denied;10;;;;;
631;07h 38;approved;111;;;;;
632;07h 39;denied;10;;;;;
633;07h 39;approved;152;;;;;
634;07h 39;reversed;2;;;;;
635;07h 40;approved;94;;;;;
636;07h 40;denied;12;;;;;
637;07h 41;denied;13;;;;;
638;07h 41;refunded;3;;;;;
639;07h 41;approved;97;;;;;
640;07h 42;approved;113;;;;;
641;07h 42;denied;16;;;;;
642;07h 43;approved;109;;;;;
643;07h 43;denied;10;;;;;
644;07h 44;backend_reversed;5;;;;;
645;07h 44;approved;123;;;;;
646;07h 44;denied;14;;;;;
647;07h 45;reversed;3;;;;;
648;07h 45;approved;107;;;;;
649;07h 45;denied;6;;;;;
650;07h 45;refunded;2;;;;;
651;07h 46;reversed;3;;;;;
652;07h 46;approved;112;;;;;
653;07h 46;denied;6;;;;;
654;07h 47;approved;128;;;;;
655;07h 47;denied;14;;;;;
656;07h 48;backend_reversed;8;;;;;
657;07h 48;approved;125;;;;;
658;07h 48;denied;12;;;;;
659;07h 48;refunded;4;;;;;
660;07h 49;reversed;7;;;;;
661;07h 49;approved;114;;;;;
662;07h 49;denied;17;;;;;
663;07h 49;refunded;3;;;;;
664;07h 50;approved;140;;;;;
665;07h 50;denied;19;;;;;
666;07h 50;refunded;2;;;;;
667;07h 50;reversed;8;;;;;
668;07h 51;refunded;2;;;;;
669;07h 51;denied;23;;;;;
670;07h 51;approved;136;;;;;
671;07h 52;reversed;8;;;;;
672;07h 52;denied;17;;;;;
673;07h 52;approved;157;;;;;
674;07h 53;approved;122;;;;;
675;07h 53;denied;18;;;;;
676;07h 54;approved;93;;;;;
677;07h 54;denied;23;;;;;
678;07h 55;denied;14;;;;;
679;07h 55;approved;138;;;;;
680;07h 56;reversed;1;;;;;
681;07h 56;approved;161;;;;;
682;07h 56;denied;11;;;;;
683;07h 57;reversed;4;;;;;
684;07h 57;approved;150;;;;;
685;07h 57;denied;21;;;;;
686;07h 57;backend_reversed;6;;;;;
687;07h 58;denied;16;;;;;
688;07h 58;backend_reversed;1;;;;;
689;07h 58;approved;141;;;;;
690;07h 59;approved;128;;;;;
691;07h 59;denied;8;;;;;
692;08h 00;approved;132;;;;;
693;08h 00;refunded;2;;;;;
694;08h 00;denied;9;;;;;
695;08h 01;approved;126;;;;;
696;08h 01;denied;9;;;;;
697;08h 02;approved;159;;;;;
698;08h 02;backend_reversed;4;;;;;
699;08h 02;denied;9;;;;;
700;08h 03;approved;133;;;;;
701;08h 03;denied;22;;;;;
702;08h 03;backend_reversed;3;;;;;
703;08h 04;denied;17;;;;;
704;08h 04;reversed;2;;;;;
705;08h 04;refunded;1;;;;;
706;08h 04;approved;137;;;;;
707;08h 05;denied;15;;;;;
708;08h 05;backend_reversed;2;;;;;
709;08h 05;approved;146;;;;;
710;08h 05;reversed;9;;;;;
711;08h 06;denied;27;;;;;
712;08h 06;reversed;3;;;;;
713;08h 06;approved;146;;;;;
714;08h 06;backend_reversed;6;;;;;
715;08h 07;reversed;1;;;;;
716;08h 07;approved;132;;;;;
717;08h 07;denied;22;;;;;
718;08h 07;backend_reversed;8;;;;;
719;08h 08;approved;153;;;;;
720;08h 08;reversed;9;;;;;
721;08h 08;denied;16;;;;;
722;08h 08;backend_reversed;5;;;;;
723;08h 09;reversed;9;;;;;
724;08h 09;approved;182;;;;;
725;08h 09;denied;21;;;;;
726;08h 10;backend_reversed;4;;;;;
727;08h 10;approved;164;;;;;
728;08h 10;denied;15;;;;;
729;08h 10;reversed;6;;;;;
730;08h 11;approved;150;;;;;
731;08h 11;denied;13;;;;;
732;08h 12;approved;173;;;;;
733;08h 12;denied;24;;;;;
734;08h 13;denied;22;;;;;
735;08h 13;reversed;7;;;;;
736;08h 13;approved;191;;;;;
737;08h 14;denied;23;;;;;
738;08h 14;reversed;1;;;;;
739;08h 14;approved;170;;;;;
740;08h 14;backend_reversed;4;;;;;
741;08h 15;approved;186;;;;;
742;08h 15;backend_reversed;3;;;;;
743;08h 15;denied;16;;;;;
744;08h 16;denied;25;;;;;
745;08h 16;approved;195;;;;;
746;08h 17;approved;174;;;;;
747;08h 17;refunded;1;;;;;
748;08h 17;denied;29;;;;;
749;08h 18;refunded;2;;;;;
750;08h 18;approved;166;;;;;
751;08h 18;denied;16;;;;;
752;08h 19;approved;191;;;;;
753;08h 19;denied;26;;;;;
754;08h 20;approved;174;;;;;
755;08h 20;refunded;4;;;;;
756;08h 20;reversed;12;;;;;
757;08h 20;denied;19;;;;;
758;08h 21;refunded;1;;;;;
759;08h 21;approved;193;;;;;
760;08h 21;denied;27;;;;;
761;08h 22;approved;180;;;;;
762;08h 22;reversed;10;;;;;
763;08h 22;denied;22;;;;;
764;08h 23;approved;199;;;;;
765;08h 23;denied;24;;;;;
766;08h 23;reversed;3;;;;;
767;08h 23;refunded;2;;;;;
768;08h 24;denied;30;;;;;
769;08h 24;approved;204;;;;;
770;08h 24;reversed;9;;;;;
771;08h 25;approved;191;;;;;
772;08h 25;backend_reversed;3;;;;;
773;08h 25;denied;25;;;;;
774;08h 26;approved;194;;;;;
775;08h 26;refunded;1;;;;;
776;08h 26;reversed;3;;;;;
777;08h 26;denied;17;;;;;
778;08h 27;refunded;3;;;;;
779;08h 27;denied;23;;;;;
780;08h 27;backend_reversed;2;;;;;
781;08h 27;approved;209;;;;;
782;08h 28;denied;20;;;;;
783;08h 28;reversed;2;;;;;
